 initial abundance for selected isotopes
  777   0.00000E+00  CO 81
  778   0.00000E+00  CO 82
  779   0.00000E+00  CO 83
  780   0.00000E+00  CO 84
  781   0.00000E+00  CO 85
  782   0.00000E+00  CO 86
  783   0.00000E+00  CO 87
  784   0.00000E+00  CO 88
  785   0.00000E+00  CO 89
  786   0.00000E+00  CO 90
  787   0.00000E+00  CO 91
  788   0.00000E+00  CO 92
  789   0.00000E+00  CO 93
  790   0.00000E+00  CO 94
  791   0.00000E+00  CO 95
  792   0.00000E+00  CO 96
  793   0.00000E+00  NI 46
  794   0.00000E+00  NI 47
  795   0.00000E+00  NI 48
  796   0.00000E+00  NI 49
  797   0.00000E+00  NI 50
  798   0.00000E+00  NI 51
  799   0.00000E+00  NI 52
  800   0.00000E+00  NI 53
  801   0.00000E+00  NI 54
  802   0.00000E+00  NI 55
  803   0.00000E+00  NI 56
  804   0.00000E+00  NI 57
  805   5.71098E-05  NI 58
  806   0.00000E+00  NI 59
  807   2.27572E-05  NI 60
  808   1.00573E-06  NI 61
  809   3.25926E-06  NI 62
  810   0.00000E+00  NI 63
  811   8.56813E-07  NI 64
  812   0.00000E+00  NI 65
  813   0.00000E+00  NI 66
  814   0.00000E+00  NI 67
  815   0.00000E+00  NI 68
  816   0.00000E+00  NI 69
  817   0.00000E+00  NI 70
  818   0.00000E+00  NI 71
  819   0.00000E+00  NI 72
  820   0.00000E+00  NI 73
  821   0.00000E+00  NI 74
  822   0.00000E+00  NI 75
  823   0.00000E+00  NI 76
  824   0.00000E+00  NI 77
  825   0.00000E+00  NI 78
  826   0.00000E+00  NI 79
  827   0.00000E+00  NI 80
  828   0.00000E+00  NI 81
  829   0.00000E+00  NI 82
  830   0.00000E+00  NI 83
  831   0.00000E+00  NI 84
  832   0.00000E+00  NI 85
  833   0.00000E+00  NI 86
  834   0.00000E+00  NI 87
  835   0.00000E+00  NI 88
  836   0.00000E+00  NI 89
  837   0.00000E+00  NI 90
  838   0.00000E+00  NI 91
